"docID","text"
1267660298015649792,"find youve missed expect play sports platform tuesday june"
1267905335764955136,"love unicorn fanart"
1267560484259143680,"resis"
1267305012310482944,"favorite store mass ave boarded shop today wrote names"
1267304473216548864,"make blacklivesmatter support listen implement productive st"
1267594964252360704,"drinking zombie cake untappd home"
1268016960396242944,"breaking asian model minority myth asians supporting blacklivesmatter nutshell"
1267891609179508736,"varsity high schoolhonestly zombie half time knew gonna exclude"
1267509088725934080,"tv ass white zombie inciters"
1267658582478204928,"problems cooperating stayhome orders closing schools flattenthecurve"
1267645926912323584,"cdo rep rufus rodriguez filed house concurrent resolution seeking extend congresss st regular session"
1267631483092480000,"bl day id paint nails eat pizza pasta gelatoooo happyyyy siste"
1265074417115099136,"lets live youtube opening rivals ixalan box unboxing"
1266536188267032576,"lol cnn biased trump"
1267496325886676992,"duly noted dave remembering images free tr protest soldiers actual"
1267304495454646272,"blacklivesmatter debate stay safe"
1267631669974052864,"motd origins de top zombie maps history change mind"
1267660619358093312,"newmost comprehensive study date evidence optimal physical distancing face masks eye protecti"
1267872812716433408,"trump perfect wake everyday"
1267294194336399360,"finding maga antifa payback finishthewall quikt"
1267310917085204480,"protestors repeat protestors people care george floyd repeat"
1267838685585817600,"ckemery nun white wom"
1267646443826774016,"wear pool noodles shot bus camps coronavirus covid"
1267850563028385792,"mahallowzmum pay rent car payment groceries family times ev"
1267303888383881216,"thinking queens showing platforms spread awareness speak impor"
1267984434185113600,"resources stabilize business times covid heres exhau"
1267658560432828416,"bats pangolins covid bancatmeattrade bandogmeattrade china vietnam southkorea banyulin banboknal banlivean"
1267794478447775744,"love im love zombie doyoung"
1267862809020424192,"feel opened magic booster packs video"
1268017122539683840,"demand justice breonnataylor blacklivesmatter nojusticenopeace"
1267873275046006784,"zombie villager minecraft check"
1266536197540548608,"protestors taking cnn building atlantariots"
1267979351384969216,"freelance esports writers pitch great stories players teams ideas csgo"
1267918650478153728,"rainbow hproductions assist man tf talking murdered cold blood"
1266536901277868032,"cnn im job"
1267659890224480256,"hear numbers rising death due covid guess needed"
